,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
27984,2015-04-25,Delhi,85.65,314.16,95.7,24.08,0.75,84.09,263.0,Poor
41758,2015-04-25,Delhi,96.17,380.35,61.28,23.23,2.64,36.35,326.0,Very Poor
27985,2015-04-26,Delhi,58.6,191.91,54.58,16.92,6.44,109.5,289.0,Poor
41759,2015-04-26,Delhi,69.88,213.09,25.74,31.63,9.71,40.77,350.0,Very Poor
6518,2015-04-26,Delhi,63.36,362.98,31.14,27.54,1.55,25.03,582.0,Severe
38083,2015-04-26,Delhi,77.97,77.97,43.9,10.9,6.38,211.55,343.0,Very Poor
41760,2015-04-27,Delhi,64.44,209.24,32.95,18.44,1.71,43.5,192.0,Moderate
27986,2015-04-27,Delhi,60.47,190.37,58.49,16.47,0.64,91.79,159.0,Moderate
6519,2015-04-27,Delhi,73.56,278.02,29.85,20.04,1.37,21.08,220.0,Poor
38084,2015-04-27,Delhi,73.02,73.02,58.92,14.27,1.04,223.24,312.0,Very Poor
6520,2015-04-28,Delhi,135.8,209.55,39.12,16.34,2.68,16.51,248.0,Poor
41761,2015-04-28,Delhi,70.07,168.01,29.36,20.28,1.17,39.77,168.0,Moderate
38085,2015-04-28,Delhi,62.32,62.32,55.63,18.54,1.57,183.35,312.0,Very Poor
27987,2015-04-28,Delhi,59.97,157.4,62.73,23.13,0.58,103.92,191.0,Moderate
27988,2015-04-29,Delhi,44.52,142.78,71.48,26.8,0.64,77.34,169.0,Moderate
38086,2015-04-29,Delhi,64.54,64.54,75.53,17.64,2.35,165.26,292.0,Poor
41762,2015-04-29,Delhi,57.5,141.49,56.41,18.18,1.28,40.23,154.0,Moderate
6521,2015-04-29,Delhi,58.86,207.28,37.79,23.08,1.3,18.27,255.0,Poor
41763,2015-04-30,Delhi,63.94,176.17,67.84,21.21,1.11,35.88,142.0,Moderate
27989,2015-04-30,Delhi,54.33,178.65,71.95,19.21,0.63,103.51,176.0,Moderate
38087,2015-04-30,Delhi,88.99,88.99,84.49,14.78,8.91,145.82,322.0,Very Poor
6522,2015-04-30,Delhi,62.17,264.31,40.14,15.29,1.21,22.29,188.0,Moderate
41764,2015-05-01,Delhi,60.62,173.64,86.13,24.1,1.29,34.97,153.0,Moderate
27990,2015-05-01,Delhi,89.26,175.34,59.11,21.21,4.46,91.78,270.0,Poor
6523,2015-05-01,Delhi,167.5,252.85,49.76,18.05,1.55,15.32,290.0,Poor
27991,2015-05-02,Delhi,62.15,138.22,81.75,29.68,3.99,59.94,280.0,Poor
41765,2015-05-02,Delhi,70.81,159.64,108.25,32.29,1.84,35.77,169.0,Moderate
6524,2015-05-02,Delhi,149.58,320.45,92.65,20.66,1.7,17.89,336.0,Very Poor
27992,2015-05-03,Delhi,105.63,203.51,120.36,31.88,6.13,65.9,318.0,Very Poor
41766,2015-05-03,Delhi,142.17,256.46,139.07,33.7,1.77,31.76,277.0,Poor
6525,2015-05-03,Delhi,237.29,497.91,101.69,25.02,4.64,15.39,457.0,Severe
6526,2015-05-04,Delhi,177.87,548.99,94.82,20.24,2.08,11.3,501.0,Severe
41767,2015-05-04,Delhi,113.31,242.44,124.03,26.11,1.57,30.48,273.0,Poor
27993,2015-05-04,Delhi,80.35,188.71,104.4,32.75,1.23,40.61,234.0,Poor
41768,2015-05-05,Delhi,136.26,316.96,147.78,37.68,1.99,28.66,306.0,Very Poor
6527,2015-05-05,Delhi,269.0,619.08,128.21,29.38,3.11,13.82,611.0,Severe
27994,2015-05-05,Delhi,138.84,258.53,132.55,49.78,1.51,49.68,268.0,Poor
38093,2015-05-06,Delhi,223.86,223.86,90.55,44.5,5.94,449.04,403.0,Severe
6528,2015-05-06,Delhi,332.41,595.56,110.91,26.49,2.3,12.11,496.0,Severe
27995,2015-05-06,Delhi,144.96,291.83,104.89,39.46,1.23,65.38,330.0,Very Poor
41769,2015-05-06,Delhi,149.06,367.75,124.25,35.46,2.87,20.08,357.0,Very Poor
38094,2015-05-07,Delhi,185.73,185.73,83.73,50.17,7.33,352.87,376.0,Very Poor
6529,2015-05-07,Delhi,186.08,632.51,87.76,26.06,2.01,12.66,616.0,Severe
41770,2015-05-07,Delhi,101.08,305.91,76.75,37.51,1.22,15.14,290.0,Poor
27996,2015-05-07,Delhi,105.2,262.82,74.48,37.75,0.83,65.75,266.0,Poor
27997,2015-05-08,Delhi,72.46,224.22,64.06,32.74,0.71,88.83,219.0,Poor
38095,2015-05-08,Delhi,112.65,112.65,64.18,22.99,0.75,308.76,340.0,Very Poor
41771,2015-05-08,Delhi,104.91,327.7,68.74,47.44,1.47,18.17,258.0,Poor
6530,2015-05-08,Delhi,147.97,582.36,86.73,24.97,2.12,14.01,609.0,Severe
27998,2015-05-09,Delhi,81.15,233.77,88.64,34.39,1.53,72.27,213.0,Poor
38096,2015-05-09,Delhi,132.89,132.89,81.17,24.22,2.07,343.67,358.0,Very Poor
41772,2015-05-09,Delhi,103.66,291.68,58.38,31.33,4.35,23.45,333.0,Very Poor
6531,2015-05-09,Delhi,183.49,534.29,73.06,17.39,1.97,11.82,563.0,Severe
41773,2015-05-10,Delhi,109.34,293.01,25.8,33.66,2.86,21.75,296.0,Poor
27999,2015-05-10,Delhi,86.42,181.79,123.3,31.36,9.04,24.08,321.0,Very Poor
38097,2015-05-10,Delhi,117.91,117.91,74.34,19.1,6.87,296.73,394.0,Very Poor
6532,2015-05-10,Delhi,156.52,530.18,62.83,19.37,1.97,13.35,534.0,Severe
6533,2015-05-11,Delhi,129.45,523.38,27.62,17.13,1.83,12.59,562.0,Severe
38098,2015-05-11,Delhi,143.25,143.25,62.13,16.25,3.12,353.15,359.0,Very Poor
41774,2015-05-11,Delhi,131.73,380.19,59.08,38.01,6.49,30.12,339.0,Very Poor
28001,2015-05-12,Delhi,90.26,263.23,68.28,29.05,0.92,91.86,221.0,Poor
6534,2015-05-12,Delhi,149.65,411.12,23.71,16.22,1.5,13.11,458.0,Severe
38099,2015-05-12,Delhi,136.73,136.73,59.5,11.27,1.47,345.92,364.0,Very Poor
41775,2015-05-12,Delhi,127.21,361.96,74.2,6.8,1.65,40.16,396.0,Very Poor
28002,2015-05-13,Delhi,100.08,148.02,130.76,31.72,27.14,39.76,398.0,Very Poor
6535,2015-05-13,Delhi,126.64,258.16,27.87,19.99,1.89,14.12,311.0,Very Poor
38100,2015-05-13,Delhi,115.59,115.59,78.69,17.42,3.11,217.9,332.0,Very Poor
6536,2015-05-14,Delhi,183.4,450.14,47.19,18.56,1.91,10.12,328.0,Very Poor
38101,2015-05-14,Delhi,66.86,66.86,73.08,13.3,1.06,136.78,269.0,Poor
28004,2015-05-15,Delhi,68.63,165.65,90.33,26.33,6.57,90.67,328.0,Very Poor
6537,2015-05-15,Delhi,187.33,496.25,64.21,10.67,1.88,27.51,564.0,Severe
41778,2015-05-15,Delhi,115.78,225.43,70.94,5.55,9.6,47.61,349.0,Very Poor
38102,2015-05-15,Delhi,96.47,96.47,80.52,15.06,2.76,214.31,360.0,Very Poor
41779,2015-05-16,Delhi,92.95,164.53,94.21,6.66,2.72,47.09,253.0,Poor
38103,2015-05-16,Delhi,89.36,89.36,93.76,17.04,1.14,182.76,258.0,Poor
28005,2015-05-16,Delhi,67.77,135.17,128.26,27.31,1.36,63.06,189.0,Moderate
38104,2015-05-17,Delhi,93.69,93.69,90.01,18.23,6.72,192.31,365.0,Very Poor
41780,2015-05-17,Delhi,105.97,202.05,54.06,11.8,1.58,38.7,263.0,Poor
41781,2015-05-18,Delhi,69.03,176.65,32.58,12.78,2.14,32.08,185.0,Moderate
38105,2015-05-18,Delhi,74.01,74.01,95.76,16.91,0.65,193.31,303.0,Very Poor
41782,2015-05-19,Delhi,95.89,245.26,76.12,10.34,2.44,39.61,224.0,Poor
6541,2015-05-19,Delhi,142.27,433.15,77.98,10.54,1.33,39.87,348.0,Very Poor
38106,2015-05-19,Delhi,94.75,94.75,163.06,19.0,3.99,248.2,381.0,Very Poor
6542,2015-05-20,Delhi,91.64,366.26,79.66,25.43,1.6,30.33,316.0,Very Poor
41783,2015-05-20,Delhi,76.07,150.18,61.05,7.94,2.51,38.6,207.0,Poor
38108,2015-05-21,Delhi,68.27,68.27,121.29,21.9,3.97,245.75,432.0,Severe
6543,2015-05-21,Delhi,126.11,593.19,100.31,15.66,1.85,25.5,503.0,Severe
41784,2015-05-21,Delhi,96.7,282.58,52.91,16.04,3.05,28.32,234.0,Poor
6544,2015-05-22,Delhi,93.01,479.62,121.41,14.9,1.54,30.54,520.0,Severe
38109,2015-05-22,Delhi,77.53,77.53,67.5,25.88,3.9,222.48,314.0,Very Poor
41785,2015-05-22,Delhi,63.19,207.11,75.1,13.23,1.8,20.58,205.0,Poor
38110,2015-05-23,Delhi,133.17,133.17,46.21,25.73,7.8,309.63,406.0,Severe
6545,2015-05-23,Delhi,96.57,591.71,117.29,13.44,1.64,25.48,541.0,Severe
41786,2015-05-23,Delhi,65.91,279.67,62.61,13.37,1.76,18.19,192.0,Moderate
38111,2015-05-24,Delhi,139.19,139.19,113.26,21.0,1.03,454.11,336.0,Very Poor
41787,2015-05-24,Delhi,90.72,274.77,75.44,26.37,2.33,22.07,210.0,Poor
6546,2015-05-24,Delhi,104.94,402.19,126.65,31.99,2.32,55.56,592.0,Severe
41788,2015-05-25,Delhi,112.32,399.47,78.82,11.98,2.1,21.34,315.0,Very Poor
6547,2015-05-25,Delhi,236.9,554.32,114.84,27.2,1.48,29.24,484.0,Severe
38112,2015-05-25,Delhi,130.91,130.91,66.11,16.12,4.28,458.82,418.0,Severe
6548,2015-05-26,Delhi,187.49,617.07,100.0,25.47,1.55,28.19,577.0,Severe
38113,2015-05-26,Delhi,107.01,107.01,54.76,13.59,0.72,358.95,374.0,Very Poor
41789,2015-05-26,Delhi,113.17,328.76,62.7,15.56,1.02,15.9,342.0,Very Poor
38114,2015-05-27,Delhi,77.67,77.67,78.93,21.24,2.64,245.48,362.0,Very Poor
41790,2015-05-27,Delhi,83.05,248.79,97.79,23.56,0.94,16.98,232.0,Poor
6549,2015-05-27,Delhi,144.01,405.89,134.64,30.91,1.87,72.92,491.0,Severe
41791,2015-05-28,Delhi,233.5,538.31,80.75,16.73,0.97,27.4,350.0,Very Poor
6550,2015-05-28,Delhi,232.84,707.87,121.35,18.39,1.5,36.63,381.0,Very Poor
38115,2015-05-28,Delhi,234.72,234.72,86.22,22.42,3.89,534.27,441.0,Severe
41792,2015-05-29,Delhi,96.85,309.12,77.26,12.02,11.35,29.24,527.0,Severe
38116,2015-05-29,Delhi,97.98,97.98,75.52,21.42,0.74,320.06,368.0,Very Poor
6551,2015-05-29,Delhi,215.02,425.83,112.0,10.96,1.8,34.19,460.0,Severe
28018,2015-05-29,Delhi,95.87,294.28,77.24,19.28,0.64,63.03,361.0,Very Poor
38117,2015-05-30,Delhi,114.71,114.71,84.19,25.11,3.0,282.52,341.0,Very Poor
41793,2015-05-30,Delhi,107.17,249.75,72.47,17.11,1.04,26.7,256.0,Poor
28019,2015-05-30,Delhi,90.02,199.28,80.7,31.58,9.21,53.26,357.0,Very Poor
6552,2015-05-30,Delhi,177.49,564.45,135.01,22.0,1.27,36.22,456.0,Severe
28020,2015-05-31,Delhi,71.56,256.62,44.9,17.1,2.75,83.45,295.0,Poor
38118,2015-05-31,Delhi,110.49,110.49,59.29,19.8,0.63,322.85,361.0,Very Poor
41794,2015-05-31,Delhi,98.52,331.52,54.19,14.37,1.03,24.88,268.0,Poor
41795,2015-06-01,Delhi,53.9,210.45,52.07,12.74,1.04,33.56,218.0,Poor
28021,2015-06-01,Delhi,42.73,182.95,62.05,9.85,0.78,69.65,179.0,Moderate
38119,2015-06-01,Delhi,62.22,62.22,71.79,12.16,0.71,249.12,352.0,Very Poor
6555,2015-06-02,Delhi,108.49,226.02,103.81,9.69,1.01,43.48,232.0,Poor
41796,2015-06-02,Delhi,74.4,97.95,86.29,12.02,8.54,42.01,286.0,Poor
38120,2015-06-02,Delhi,46.45,46.45,64.88,7.36,0.76,122.08,280.0,Poor
28022,2015-06-02,Delhi,28.5,88.39,54.95,5.48,4.51,81.33,291.0,Poor
6556,2015-06-03,Delhi,99.96,231.96,97.91,11.48,1.47,22.24,303.0,Very Poor
41797,2015-06-03,Delhi,85.39,140.03,85.04,10.2,8.02,46.73,293.0,Poor
28023,2015-06-03,Delhi,49.66,105.65,76.76,4.7,0.69,26.15,117.0,Moderate
38121,2015-06-03,Delhi,73.15,73.15,91.26,6.74,2.72,146.61,288.0,Poor
38122,2015-06-04,Delhi,113.34,113.34,76.56,5.83,1.93,201.81,350.0,Very Poor
6557,2015-06-04,Delhi,134.67,265.66,80.65,6.29,0.93,31.34,265.0,Poor
41798,2015-06-04,Delhi,91.57,172.97,73.39,9.9,2.19,44.02,186.0,Moderate
28024,2015-06-04,Delhi,72.16,166.46,64.84,7.09,0.93,56.42,172.0,Moderate
28025,2015-06-05,Delhi,176.11,269.21,141.41,8.64,18.57,1.2,382.0,Very Poor
41799,2015-06-05,Delhi,214.95,220.59,150.84,6.16,2.79,51.82,300.0,Poor
38123,2015-06-05,Delhi,235.22,235.22,136.21,4.79,19.51,286.45,391.0,Very Poor
28027,2015-06-07,Delhi,76.67,167.78,77.8,15.93,0.77,64.11,166.0,Moderate
41801,2015-06-07,Delhi,137.71,233.45,92.17,7.89,2.48,39.88,284.0,Poor
38125,2015-06-07,Delhi,104.49,104.49,98.32,6.11,0.88,272.85,373.0,Very Poor
28028,2015-06-08,Delhi,75.3,162.23,78.87,11.41,0.75,86.37,212.0,Poor
38126,2015-06-08,Delhi,122.24,122.24,103.32,7.96,0.72,254.2,333.0,Very Poor
6561,2015-06-08,Delhi,185.26,450.93,166.86,15.25,1.36,29.85,371.0,Very Poor
38127,2015-06-09,Delhi,86.01,86.01,47.97,10.19,0.64,299.51,296.0,Poor
28029,2015-06-09,Delhi,69.71,332.46,26.66,10.18,0.35,84.62,155.0,Moderate
6562,2015-06-09,Delhi,170.96,568.86,124.82,10.4,1.18,12.4,474.0,Severe
6563,2015-06-10,Delhi,106.35,410.31,57.54,9.16,0.71,3.18,505.0,Severe
28030,2015-06-10,Delhi,50.78,171.6,16.79,3.38,0.41,15.16,200.0,Moderate
41804,2015-06-10,Delhi,68.79,179.11,25.9,8.67,1.52,38.24,197.0,Moderate
38128,2015-06-10,Delhi,58.82,58.82,34.8,6.27,0.65,183.16,276.0,Poor
41805,2015-06-11,Delhi,141.87,370.99,35.03,7.97,1.49,35.86,253.0,Poor
38129,2015-06-11,Delhi,108.94,108.94,37.08,5.05,0.74,417.19,388.0,Very Poor
28031,2015-06-11,Delhi,79.15,276.74,27.26,7.35,0.56,31.48,140.0,Moderate
28032,2015-06-12,Delhi,61.84,211.71,25.16,1.55,0.47,18.15,194.0,Moderate
41806,2015-06-12,Delhi,90.11,187.55,31.96,9.23,1.71,35.67,278.0,Poor
38130,2015-06-12,Delhi,75.76,75.76,40.07,4.11,0.79,215.6,324.0,Very Poor
41807,2015-06-13,Delhi,81.34,164.08,46.99,6.22,1.79,45.21,205.0,Poor
28033,2015-06-13,Delhi,51.86,138.99,55.35,1.77,1.03,10.16,164.0,Moderate
38131,2015-06-13,Delhi,60.95,60.95,54.96,3.81,0.73,159.88,289.0,Poor
6566,2015-06-13,Delhi,99.3,276.36,83.82,9.32,1.24,14.33,330.0,Very Poor
6567,2015-06-14,Delhi,82.97,170.55,90.52,9.61,1.43,35.11,199.0,Moderate
41808,2015-06-14,Delhi,78.4,118.84,62.28,5.52,1.98,67.76,129.0,Moderate
38132,2015-06-14,Delhi,70.93,70.93,72.81,4.32,0.7,137.36,243.0,Poor
28034,2015-06-14,Delhi,65.92,125.41,66.78,2.72,0.72,18.68,111.0,Moderate
28035,2015-06-15,Delhi,91.52,196.16,67.57,3.13,0.86,30.54,177.0,Moderate
6568,2015-06-15,Delhi,116.45,429.27,131.18,10.38,1.76,21.23,207.0,Poor
41809,2015-06-15,Delhi,105.86,186.12,69.42,5.87,2.37,59.47,214.0,Poor
38133,2015-06-15,Delhi,119.33,119.33,83.56,9.83,0.89,212.14,313.0,Very Poor
41810,2015-06-16,Delhi,123.76,222.12,80.39,4.81,2.6,54.16,305.0,Very Poor
38134,2015-06-16,Delhi,129.32,129.32,81.84,6.69,0.88,234.96,319.0,Very Poor
6569,2015-06-16,Delhi,185.08,566.69,109.73,9.32,1.5,38.17,565.0,Severe
28036,2015-06-16,Delhi,96.37,265.15,74.46,3.88,0.99,18.35,221.0,Poor
41811,2015-06-17,Delhi,140.98,252.88,78.5,6.69,2.56,47.64,308.0,Very Poor
6570,2015-06-17,Delhi,153.5,488.33,116.8,9.99,1.31,41.18,531.0,Severe
38135,2015-06-17,Delhi,139.67,139.67,62.17,7.05,1.25,209.19,318.0,Very Poor
28037,2015-06-17,Delhi,93.1,220.83,62.7,5.24,0.88,18.73,220.0,Poor
38136,2015-06-18,Delhi,137.88,137.88,110.02,12.6,1.37,281.38,330.0,Very Poor
6571,2015-06-18,Delhi,189.36,456.64,103.86,16.35,1.32,30.41,462.0,Severe
28038,2015-06-18,Delhi,99.38,225.43,102.6,6.2,1.22,30.14,214.0,Poor
41812,2015-06-18,Delhi,127.41,255.4,116.52,5.95,2.86,44.11,306.0,Very Poor
41813,2015-06-19,Delhi,112.47,227.86,69.66,4.19,2.23,43.77,301.0,Very Poor
38137,2015-06-19,Delhi,123.17,123.17,90.14,9.76,1.09,235.37,316.0,Very Poor
6572,2015-06-19,Delhi,125.69,308.9,72.48,16.41,1.09,14.46,331.0,Very Poor
28039,2015-06-19,Delhi,101.03,215.83,71.75,7.0,0.87,27.62,230.0,Poor
38138,2015-06-20,Delhi,57.76,57.76,64.35,6.85,1.17,178.89,308.0,Very Poor
6573,2015-06-20,Delhi,140.49,319.19,81.73,30.61,1.08,36.59,310.0,Very Poor
41814,2015-06-20,Delhi,60.45,166.74,50.89,5.25,1.83,47.78,187.0,Moderate
38139,2015-06-21,Delhi,56.48,56.48,88.01,8.53,1.22,131.21,138.0,Moderate
6574,2015-06-21,Delhi,66.61,118.88,78.85,13.43,1.92,34.13,271.0,Poor
41815,2015-06-21,Delhi,51.14,97.57,67.7,1.96,2.04,55.77,132.0,Moderate
6575,2015-06-22,Delhi,134.75,185.43,66.71,13.61,1.07,46.86,313.0,Very Poor
41816,2015-06-22,Delhi,55.47,113.43,70.21,3.42,1.9,57.78,104.0,Moderate
38140,2015-06-22,Delhi,77.64,77.64,74.01,7.96,1.24,144.91,266.0,Poor
6576,2015-06-23,Delhi,162.03,230.94,85.78,16.37,1.23,53.06,324.0,Very Poor
41817,2015-06-23,Delhi,65.0,156.29,70.93,5.39,2.13,58.57,123.0,Moderate
38141,2015-06-23,Delhi,107.16,107.16,65.83,7.26,1.23,197.2,307.0,Very Poor
38142,2015-06-24,Delhi,131.99,131.99,64.22,7.78,1.14,202.7,313.0,Very Poor
6577,2015-06-24,Delhi,145.38,310.98,95.48,18.44,1.22,89.86,326.0,Very Poor
41818,2015-06-24,Delhi,125.54,202.47,70.83,2.94,2.2,68.23,214.0,Poor
41819,2015-06-25,Delhi,39.88,66.57,60.54,8.78,2.04,78.05,227.0,Poor
6578,2015-06-25,Delhi,47.94,92.76,71.98,14.57,1.13,57.33,249.0,Poor
38143,2015-06-25,Delhi,39.06,39.06,44.87,6.35,1.25,60.88,196.0,Moderate
41820,2015-06-26,Delhi,71.11,149.82,43.83,4.85,1.36,60.15,213.0,Poor
6579,2015-06-26,Delhi,102.52,361.03,83.03,13.51,1.05,72.97,212.0,Poor
38144,2015-06-26,Delhi,80.92,80.92,47.43,5.6,1.09,152.6,278.0,Poor
6580,2015-06-27,Delhi,78.28,390.45,78.53,13.71,1.06,56.86,353.0,Very Poor
38145,2015-06-27,Delhi,69.03,69.03,28.75,4.94,1.07,151.29,270.0,Poor
41821,2015-06-27,Delhi,78.71,175.59,39.22,7.2,1.46,50.92,157.0,Moderate
6581,2015-06-28,Delhi,95.81,413.23,78.54,13.32,0.99,52.92,402.0,Severe
41822,2015-06-28,Delhi,90.58,198.35,47.1,6.05,1.74,46.54,158.0,Moderate
38146,2015-06-28,Delhi,79.67,79.67,45.91,5.84,1.21,184.19,257.0,Poor
6582,2015-06-29,Delhi,52.36,132.12,47.41,12.04,0.91,72.17,255.0,Poor
41823,2015-06-29,Delhi,48.68,98.59,30.77,10.15,1.76,55.75,192.0,Moderate
38147,2015-06-29,Delhi,51.92,51.92,42.67,5.32,1.04,102.96,223.0,Poor
41824,2015-06-30,Delhi,55.39,106.67,44.89,5.7,1.71,57.8,125.0,Moderate
38148,2015-06-30,Delhi,47.78,47.78,53.59,15.15,1.14,104.58,155.0,Moderate
6583,2015-06-30,Delhi,66.98,179.03,61.93,12.81,0.86,77.18,267.0,Poor
6584,2015-07-01,Delhi,65.96,217.07,62.92,18.68,0.86,83.12,258.0,Poor
38149,2015-07-01,Delhi,60.81,60.81,58.23,8.95,1.13,130.53,227.0,Poor
41825,2015-07-01,Delhi,54.63,132.94,50.38,5.75,1.68,55.16,163.0,Moderate
28052,2015-07-02,Delhi,47.74,131.94,36.17,6.03,0.55,11.13,149.0,Moderate
38150,2015-07-02,Delhi,61.62,61.62,40.96,4.43,1.14,139.65,253.0,Poor
41826,2015-07-02,Delhi,60.71,146.54,52.98,6.13,1.71,45.17,170.0,Moderate
6585,2015-07-02,Delhi,100.12,363.52,88.12,11.86,1.12,72.58,320.0,Very Poor
38151,2015-07-03,Delhi,65.74,65.74,28.25,8.59,1.04,170.88,301.0,Very Poor
